video_id,channel_id,channel_name,title,url,published_at,views,likes,comments,duration_seconds,tier,age_hours,age_bucket,velocity,baseline_velocity,breakout_ratio,capped_breakout,breakout_label,baseline_confidence,baseline_source,trend_id,trend_name,anime_title,manager_value,manager_note
D7bh6d_6ij0,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Guts' Complicated Family Tree - His Entire Astral Bloodline Explained | Berserk,https://www.youtube.com/watch?v=D7bh6d_6ij0,2026-07-16T15:46:22+00:00,3379,314,26,872,priority,1.87,0_6h,1689.5,1236.99,1.366,1.366,normal,very_low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
qQpF1NXXy2Q,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Yujiro's Most BROKEN Ability - The Real Reason He's Undefeated 💀 | BAKI,https://www.youtube.com/watch?v=qQpF1NXXy2Q,2026-07-16T15:33:43+00:00,1636,79,1,25,priority,2.09,0_6h,784.49,1236.99,0.634,0.634,below_average,very_low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
Qs9r0G1_6tU,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Togashi CONFIRMED Adult Gon Is The Strongest NUKE 💀 | HxH,https://www.youtube.com/watch?v=Qs9r0G1_6tU,2026-07-15T14:34:40+00:00,16637,557,15,42,priority,27.07,24_72h,614.6,614.6,1.0,1.0,normal,very_low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
CEXIJJ_YBVg,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Everyone Misunderstood Adult Gon - Why He Was So Powerful 💀 | HxH,https://www.youtube.com/watch?v=CEXIJJ_YBVg,2026-07-14T14:54:56+00:00,19366,537,3,34,priority,50.73,24_72h,381.73,614.6,0.621,0.621,below_average,very_low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
CXRurHplECc,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,The DOWNFALL Of Griffith Is FINALLY Here... The God Hand Are FINISHED With Him | BERSERK 386,https://www.youtube.com/watch?v=CXRurHplECc,2026-07-13T23:18:03+00:00,147548,3981,317,818,priority,66.35,24_72h,2223.9,614.6,3.618,3.618,breakout,very_low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
02WX8eScQQY,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Baki CONFIRMS Why Yujiro Isn't Human - YUJIRO VS ALIENS!,https://www.youtube.com/watch?v=02WX8eScQQY,2026-07-12T13:17:26+00:00,32399,1114,21,36,priority,100.36,3_7d,322.84,739.65,0.436,0.436,below_average,low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
ZZvBsnIh2Mc,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,ITS OVER FOR GING & BEYOND! The NEW STRONGEST NEN GOD's Awakening Changes Hunter x Hunter Forever!,https://www.youtube.com/watch?v=ZZvBsnIh2Mc,2026-07-11T23:03:24+00:00,142547,2839,196,1289,priority,114.59,3_7d,1243.97,739.65,1.682,1.682,above_average,low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
xJjggXVR0_U,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,YUJIRO'S DEMON GOD POWERS IS INSANE 🤯 Strongest Creature Alive | BAKI,https://www.youtube.com/watch?v=xJjggXVR0_U,2026-07-11T20:14:17+00:00,49585,2052,39,43,priority,117.41,3_7d,422.33,739.65,0.571,0.571,below_average,low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
AgPL3AJWVxQ,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,THIS IS BAD... Imu's True Power Just ANNIHILATED Luffy! Its Finally Dragon's Turn! | One Piece,https://www.youtube.com/watch?v=AgPL3AJWVxQ,2026-07-11T03:35:05+00:00,215691,5578,562,1081,priority,134.06,3_7d,1608.88,739.65,2.175,2.175,breakout,low,channel_median,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
Kmg5SsOLn48,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Er.. NO WAY ITS ALREADY OVER! LUFFY LOST... ONE PIECE CHAPTER 1188 LIVE REACTION,https://www.youtube.com/watch?v=Kmg5SsOLn48,2026-07-10T17:09:01+00:00,11577,308,22,4585,priority,144.5,3_7d,80.12,739.65,0.108,0.108,below_average,low,channel_median,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
EXegOswt3r8,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,"RIMURU'S STRONGEST WEAPONS! Primal Demon Sisters in Tensura Explained (Testarosa, ultima, carerra..)",https://www.youtube.com/watch?v=EXegOswt3r8,2026-07-09T21:10:39+00:00,173842,5026,248,1876,priority,164.47,3_7d,1056.98,739.65,1.429,1.429,normal,low,channel_median,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
RuD5axncPC4,UCgR3SrM8T6GCFUTuxSFlR7A,Anime Balls Deep,Iruma's Family is NOT Human & The Strongest: Derkila's DEMON KING Bloodline EXPLAINED,https://www.youtube.com/watch?v=RuD5axncPC4,2026-07-07T14:45:18+00:00,340262,8603,252,999,priority,218.89,7d_plus,1554.47,1.0,1554.472,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
2rpbPKTpQic,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,My Boyfriend Trapped Me in a Basement for 800 Days,https://www.youtube.com/watch?v=2rpbPKTpQic,2026-02-07T21:44:01+00:00,335,7,,1113,priority,3811.91,7d_plus,0.09,1.0,0.088,0.088,below_average,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
68x5-FjA0ls,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,He Reincarnated To Another World As Strongest God Mage | Anime Recap,https://www.youtube.com/watch?v=68x5-FjA0ls,2025-07-21T12:05:05+00:00,3337,49,3,3924,priority,8645.56,7d_plus,0.39,1.0,0.386,0.386,below_average,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
Qh54pbUmRLo,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,He Thinks That He Is Weak But He Is Actually The Most Powerful Hero,https://www.youtube.com/watch?v=Qh54pbUmRLo,2024-07-21T12:26:14+00:00,99564,1581,72,4416,priority,17405.21,7d_plus,5.72,1.0,5.72,5.72,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
gLwyHvoaBng,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,He Returns To The Past And Becomes The Strongest Magician,https://www.youtube.com/watch?v=gLwyHvoaBng,2023-10-21T20:29:20+00:00,195085,3461,102,1754,priority,23973.16,7d_plus,8.14,1.0,8.138,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
jBoNEuBRAUU,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,Ugly Weak Loser Becomes The Most Powerful With A Cheat Skill,https://www.youtube.com/watch?v=jBoNEuBRAUU,2023-10-01T19:34:41+00:00,118110,2672,86,681,priority,24454.07,7d_plus,4.83,1.0,4.83,4.83,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
PEtSbQ1QgnY,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,Weak Boy Accidentally Becomes The Strongest S Rank In School,https://www.youtube.com/watch?v=PEtSbQ1QgnY,2023-07-25T12:04:04+00:00,452719,7349,122,1641,priority,26093.58,7d_plus,17.35,1.0,17.35,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
RONHVX6KwA0,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,He Reincarnated As The Strongest  But His Family Threw Him Out,https://www.youtube.com/watch?v=RONHVX6KwA0,2023-07-08T22:56:06+00:00,553852,12402,361,452,priority,26490.71,7d_plus,20.91,1.0,20.907,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
6YHwRRyG3mI,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,They Think He Is Weak But He Is The Strongest Swordsman In An All Magic School,https://www.youtube.com/watch?v=6YHwRRyG3mI,2022-12-03T15:02:06+00:00,389192,6207,194,876,priority,31706.61,7d_plus,12.27,1.0,12.275,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
H076W21dUvE,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,"He Has The Strongest Bloodline, God, Demon And Legendary Beast Blood",https://www.youtube.com/watch?v=H076W21dUvE,2022-11-28T12:18:54+00:00,468060,7524,186,881,priority,31829.33,7d_plus,14.71,1.0,14.705,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
DoTbJQ77Ajo,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,"They Forced Him To Play Game, So He Become The Strongest In All Servers",https://www.youtube.com/watch?v=DoTbJQ77Ajo,2022-11-18T13:04:34+00:00,82596,1463,22,793,priority,32068.57,7d_plus,2.58,1.0,2.576,2.576,breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
PeVUFk7vEdQ,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,SS Rank Hero Gets Into F-Rank Class After Defeating Demon King,https://www.youtube.com/watch?v=PeVUFk7vEdQ,2022-10-29T14:27:56+00:00,368320,5616,94,701,priority,32547.18,7d_plus,11.32,1.0,11.316,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
wbaaAeacw4o,UCZqJbVP5P1cHVfQdCkJoyKA,Anime In Minutes,He Is The Strongest Swordsman But Has No Sword,https://www.youtube.com/watch?v=wbaaAeacw4o,2022-10-21T12:38:37+00:00,840668,16672,385,854,priority,32741.0,7d_plus,25.68,1.0,25.676,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
Jkh-y4u22js,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,LUFFY'S SECOND DEATH! | One Piece Chapter 1188,https://www.youtube.com/watch?v=Jkh-y4u22js,2026-07-11T04:02:30+00:00,64531,1859,215,763,priority,133.61,3_7d,483.0,483.0,1.0,1.0,normal,very_low,channel_median,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
